species,pop,dormancy_release,Estimate,Std. Error,Lower,Upper
CSA,1,20,65.49032364,0.794355479,63.88223505,67.09841224
CSA,1,30,66.79208902,0.654010136,65.46811472,68.11606332
CSA,1,40,67.97625394,0.61307096,66.73515666,69.21735121
CSA,1,50,69.22362289,0.682824457,67.84131704,70.60592873
CSA,1,60,70.69842088,0.880943751,68.91504349,72.48179827
CSA,2,20,69.69170181,2.039342929,65.56326789,73.82013573
CSA,2,30,73.01751289,1.682810821,69.61084048,76.42418529
CSA,2,40,76.35072441,2.117779331,72.06350429,80.63794453
CSA,2,50,83.00881366,4.28291462,74.33850629,91.67912102
CSA,2,60,#N/A,#N/A,#N/A,#N/A
CSA,3,20,75.79117112,2.184712559,71.40919265,80.17314959
CSA,3,30,80.51165388,3.118554934,74.25662481,86.76668295
CSA,3,40,86.49018412,5.093612046,76.27369215,96.70667608
CSA,3,50,96.71448494,9.216723981,78.22807772,115.2008922
CSA,3,60,#N/A,#N/A,#N/A,#N/A
CSA,4,20,69.23170496,1.583160146,66.0267648,72.43664512
CSA,4,30,72.15057636,2.126614064,67.84547126,76.45568146
CSA,4,40,75.27316717,3.179246856,68.83711839,81.70921595
CSA,4,50,79.17986312,4.764199458,69.53524555,88.8244807
CSA,4,60,85.30154559,7.531465917,70.05488994,100.5482012
CSA,5,20,69.25291955,1.640306014,65.9471,72.5587391
CSA,5,30,71.88292169,1.78676934,68.2819247,75.48391868
CSA,5,40,74.7838902,2.556968915,69.63065796,79.93712244
CSA,5,50,78.56102108,3.976718568,70.54647143,86.57557073
CSA,5,60,85.06865978,6.84182825,71.27986097,98.85745858
CSA,6,20,74.36078003,4.429754361,65.44926372,83.27229634
CSA,6,30,79.98250739,7.281161846,65.33469911,94.63031566
CSA,6,40,86.09731957,10.99940729,63.96936631,108.2252728
CSA,6,50,93.53396527,15.99753833,61.35106928,125.7168613
CSA,6,60,103.9078226,23.60624326,56.41818663,151.3974585
CSA,7,20,70.06043968,1.220104642,67.60148035,72.51939902
CSA,7,30,73.39329808,1.468807359,70.43311135,76.3534848
CSA,7,40,76.79488056,1.99203001,72.78020787,80.80955325
CSA,7,50,80.64469621,2.751067449,75.10028408,86.18910835
CSA,7,60,85.48917384,3.838758239,77.75266496,93.22568272
CSA,8,20,71.32189439,1.197945135,68.90259511,73.74119367
CSA,8,30,72.56406099,1.001208481,70.54207944,74.58604254
CSA,8,40,73.67582802,0.938163592,71.78116821,75.57048783
CSA,8,50,74.79045966,1.010587827,72.74953614,76.83138318
