"","Estimate","Std. Error","Lower","Upper"
"model_csa_1.e:1:0.2",65.489729568503,0.794353407112667,63.8816451670606,67.0978139699455
"model_csa_1.e:1:0.3",66.7917317363344,0.653999805802433,65.4677783462683,68.1156851264004
"model_csa_1.e:1:0.4",67.9760886978859,0.613074812225157,66.7349836259759,69.217193769796
"model_csa_1.e:1:0.5",69.2236423704656,0.682859233427523,67.8412661235415,70.6060186173897
"model_csa_1.e:1:0.6",70.6986324762916,0.881013334106119,68.9151142243985,72.4821507281846
"model_csa_2.e:1:0.2",69.6913426685418,2.03939531411698,65.562802696734,73.8198826403496
"model_csa_2.e:1:0.3",73.0170812784697,1.68287224514622,69.6102845267863,76.4238780301532
"model_csa_2.e:1:0.4",76.3505389524842,2.11805058384642,72.0627697116751,80.6383081932932
"model_csa_2.e:1:0.5",83.0193919677196,4.28768686244483,74.3394237067043,91.6993602287349
"model_csa_2.e:1:0.6",NA,NA,NA,NA
"model_csa_3.e:1:0.2",75.822782856089,2.37374497607432,71.0549757545915,80.5905899575864
"model_csa_3.e:1:0.3",80.6124878475515,3.64104192002867,73.2992399215371,87.9257357735659
"model_csa_3.e:1:0.4",86.6201222813542,5.98332715236173,74.6022560087981,98.6379885539102
"model_csa_3.e:1:0.5",96.6105676708084,10.5792079904274,75.3616030628263,117.859532278791
"model_csa_3.e:1:0.6",NA,NA,NA,NA
"model_csa_4.e:1:0.2",69.2316090278829,1.58321329674281,66.026561269729,72.4366567860369
"model_csa_4.e:1:0.3",72.1505991277477,2.12671558761937,67.8452885038704,76.4559097516249
"model_csa_4.e:1:0.4",75.2733129432575,3.17936903318382,68.8370168275577,81.7096090589573
"model_csa_4.e:1:0.5",79.1801184035117,4.76432002201333,69.535256755939,88.8249800510844
"model_csa_4.e:1:0.6",85.3017565844325,7.53147924978545,70.0550739455427,100.548439223322
"model_csa_5.e:1:0.2",69.2529195498128,1.64030601379793,65.9470999974393,72.5587391021862
"model_csa_5.e:1:0.3",71.8829216913487,1.78676934016259,68.2819247001748,75.4839186825227
"model_csa_5.e:1:0.4",74.783890198602,2.5569689146674,69.6306579591207,79.9371224380833
"model_csa_5.e:1:0.5",78.5610210790239,3.97671856756242,70.5464714252702,86.5755707327777
"model_csa_5.e:1:0.6",85.0686597766709,6.84182825014231,71.2798609714207,98.857458581921
"model_csa_6.e:1:0.2",74.3607482316753,4.42962583721151,65.4494904742928,83.2720059890578
"model_csa_6.e:1:0.3",79.9824523606076,7.28097390935578,65.3350221677472,94.629882553468
"model_csa_6.e:1:0.4",86.0972580250514,10.9991636691179,63.9697948547424,108.22472119536
"model_csa_6.e:1:0.5",93.5339340787929,15.9972494864494,61.35161917866,125.716248978926
