species,population,heat_treatment,replicate,total_seeds,germinated_seeds,empty_seeds
CSA,1,30,I,25,3,
CSA,1,30,II,24,4,
CSA,1,30,III,25,2,
CSA,1,35,I,25,4,
CSA,1,35,II,25,6,
CSA,1,35,III,25,2,
CSA,1,40,I,25,3,
CSA,1,40,II,24,5,
CSA,1,40,III,25,7,
CSA,1,45,I,25,7,
CSA,1,45,II,25,6,
CSA,1,45,III,25,6,
CSA,1,50,I,25,5,
CSA,1,50,II,25,4,
CSA,1,50,III,25,6,
CSA,1,55,I,25,5,
CSA,1,55,II,25,5,
CSA,1,55,III,25,6,
CSA,1,60,I,25,4,
CSA,1,60,II,25,6,
CSA,1,60,III,25,6,
CSA,1,65,I,25,7,
CSA,1,65,II,25,11,
CSA,1,65,III,25,2,
CSA,1,70,I,25,17,
CSA,1,70,II,25,12,
CSA,1,70,III,25,17,
CSA,1,75,I,25,20,
CSA,1,75,II,25,20,
CSA,1,75,III,25,20,
CSA,1,80,I,25,19,
CSA,1,80,II,25,23,
CSA,1,80,III,25,23,
CSA,1,85,I,24,20,
CSA,1,85,II,25,20,
CSA,1,85,III,25,18,
CSA,1,90,I,25,23,
CSA,1,90,II,25,21,
CSA,1,90,III,24,23,
CSA,1,95,I,25,24,
CSA,1,95,II,25,23,
CSA,1,95,III,25,22,
CSA,1,100,I,25,20,
CSA,1,100,II,25,23,
CSA,1,100,III,25,21,
CSA,1,105,I,25,19,
CSA,1,105,II,25,22,
CSA,1,105,III,25,21,
CSA,1,110,I,25,15,
CSA,1,110,II,25,15,
CSA,1,110,III,25,14,
CSA,1,115,I,25,13,
CSA,1,115,II,25,9,
CSA,1,115,III,25,9,
CSA,1,120,I,25,7,
CSA,1,120,II,25,4,
CSA,1,120,III,25,2,
CSA,2,30,I,20,1,
CSA,2,30,II,25,3,
CSA,2,30,III,20,2,
CSA,2,35,I,20,0,
CSA,2,35,II,25,4,
CSA,2,35,III,20,2,
CSA,2,40,I,20,1,
CSA,2,40,II,25,3,
CSA,2,40,III,20,0,
CSA,2,45,I,20,1,
CSA,2,45,II,25,2,
CSA,2,45,III,20,0,
CSA,2,50,I,20,4,
CSA,2,50,II,24,1,
CSA,2,50,III,20,2,
CSA,2,55,I,20,5,
CSA,2,55,II,25,4,
CSA,2,55,III,20,1,
CSA,2,60,I,20,2,
CSA,2,60,II,25,4,
CSA,2,60,III,20,2,
CSA,2,65,I,20,4,
CSA,2,65,II,25,7,
CSA,2,65,III,20,2,
CSA,2,70,I,20,8,
CSA,2,70,II,25,1,
CSA,2,70,III,20,6,
CSA,2,75,I,20,10,
CSA,2,75,II,25,10,
CSA,2,75,III,20,8,
CSA,2,80,I,20,15,
CSA,2,80,II,25,10,
CSA,2,80,III,20,8,1
CSA,2,85,I,20,9,
CSA,2,85,II,25,16,
CSA,2,85,III,20,12,3
CSA,2,90,I,20,9,
CSA,2,90,II,25,9,
CSA,2,90,III,20,10,
CSA,2,95,I,20,9,
CSA,2,95,II,25,16,
CSA,2,95,III,20,15,
CSA,2,100,I,20,10,
CSA,2,100,II,25,16,
CSA,2,100,III,20,5,
CSA,2,105,I,20,2,
CSA,2,105,II,25,13,
CSA,2,105,III,20,14,1
CSA,2,110,I,20,3,
CSA,2,110,II,25,8,
CSA,2,110,III,20,0,
CSA,2,115,I,20,0,
CSA,2,115,II,25,1,
CSA,2,115,III,20,0,
CSA,2,120,I,20,0,
CSA,2,120,II,25,0,
CSA,2,120,III,20,0,
CSA,3,30,I,25,0,
CSA,3,30,II,25,0,
CSA,3,30,III,25,0,
CSA,3,35,I,25,0,
CSA,3,35,II,25,0,
CSA,3,35,III,25,2,
CSA,3,40,I,25,0,
CSA,3,40,II,25,1,
CSA,3,40,III,25,0,
CSA,3,45,I,25,0,
CSA,3,45,II,25,4,
CSA,3,45,III,25,0,
CSA,3,50,I,25,0,
CSA,3,50,II,25,0,
CSA,3,50,III,25,0,
CSA,3,55,I,25,0,
CSA,3,55,II,25,0,
CSA,3,55,III,25,1,
CSA,3,60,I,25,0,
CSA,3,60,II,25,0,
CSA,3,60,III,25,1,
CSA,3,65,I,25,0,
CSA,3,65,II,25,0,
CSA,3,65,III,25,0,
CSA,3,70,I,25,1,
CSA,3,70,II,25,2,
CSA,3,70,III,25,0,
CSA,3,75,I,25,6,
CSA,3,75,II,25,7,
CSA,3,75,III,25,2,
CSA,3,80,I,25,6,
CSA,3,80,II,25,5,
CSA,3,80,III,25,15,
CSA,3,85,I,25,11,
CSA,3,85,II,25,6,
CSA,3,85,III,25,10,
CSA,3,90,I,24,16,
CSA,3,90,II,25,5,
CSA,3,90,III,25,10,
CSA,3,95,I,25,21,
CSA,3,95,II,25,4,
CSA,3,95,III,25,8,
CSA,3,100,I,25,17,
CSA,3,100,II,25,10,
CSA,3,100,III,25,12,
CSA,3,105,I,25,17,
CSA,3,105,II,25,14,
CSA,3,105,III,25,11,
CSA,3,110,I,25,17,
CSA,3,110,II,25,15,
CSA,3,110,III,25,10,
CSA,3,115,I,25,12,
CSA,3,115,II,25,19,
CSA,3,115,III,25,13,
CSA,3,120,I,25,13,
CSA,3,120,II,25,11,
CSA,3,120,III,25,18,
CSA,4,30,I,25,0,
CSA,4,30,II,25,1,
CSA,4,30,III,25,1,
CSA,4,35,I,25,4,
CSA,4,35,II,24,1,
CSA,4,35,III,25,3,
CSA,4,40,I,25,0,
CSA,4,40,II,25,1,
CSA,4,40,III,25,2,
CSA,4,45,I,25,0,
CSA,4,45,II,25,1,
CSA,4,45,III,25,0,
CSA,4,50,I,25,6,
CSA,4,50,II,25,2,
CSA,4,50,III,25,1,
CSA,4,55,I,25,4,
CSA,4,55,II,25,1,
CSA,4,55,III,25,1,
CSA,4,60,I,25,2,
CSA,4,60,II,25,0,
CSA,4,60,III,25,0,
CSA,4,65,I,25,4,
CSA,4,65,II,25,1,
CSA,4,65,III,25,0,
CSA,4,70,I,25,3,
CSA,4,70,II,25,11,
CSA,4,70,III,25,7,
CSA,4,75,I,25,12,
CSA,4,75,II,25,12,
CSA,4,75,III,25,5,
CSA,4,80,I,25,14,
CSA,4,80,II,25,15,
CSA,4,80,III,25,17,
CSA,4,85,I,25,18,
CSA,4,85,II,25,7,
