species,province,location,old_pop,pop,lat,long,seed_mass,elevation,BIO_01,BIO_05,BIO_12,aridity_index,annual_burnedarea_ha,annual_number_fires,burned_area_percent
CSA,Alicante,Montgo Les Planes,5,1,38.809761,0.162458,1.007,42,172,260,625,1.053043144,122.047619,4.19047619,0.796707481
CSA,Valencia,Benicolet,2,2,38.92775,-0.314389,0.957,392,159,269,637,0.747396518,522.3333333,15.86111111,1.662846471
CSA,Valencia,Carcaixent,1,3,39.107848,-0.414571,0.88,201,171,289,735,0.775020031,399.7777778,9.277777778,1.272691257
CSA,Valencia,Dos Aguas,3,4,39.300432,-0.788097,1.083,778,136,279,637,0.626806371,1856.472222,9.194444444,5.910073291
CSA,Tarragona,Ermita de sant roc,6,5,40.987378,0.882237,1.055,118,160,287,524,0.553540405,172.9655172,1.103448276,0.857581027
CSA,Tarragona,Tivissa II,4,6,41.002028,0.671214,1.093,148,162,295,574,0.577738281,267.6206897,0.724137931,0.851969597
CSA,Tarragona,Tarragona ,7,7,41.229922,1.412922,1.161,245,154,282,645,0.690715045,141.7241379,1.655172414,0.466520089
CSA,Barcelona,Canyelles I,11,8,41.259764,1.692788,1.013,182,158,280,631,0.708914188,88.48275862,1.206896552,0.332017856
CSA,Barcelona,Canyelles III,8,9,41.262878,1.687627,1.098,261,156,279,660,0.743319844,87.51724138,1.103448276,0.319452626
CSA,Barcelona,Garraf I,10,10,41.283547,1.903944,1.079,393,138,254,799,1.009968453,190.1724138,1.068965517,0.837800845
CSA,Barcelona,Garraf II,9,11,41.297602,1.872988,1.106,385,150,268,691,0.829245136,236.2758621,1.896551724,0.89692086
CAL,Almeria,Alhamilla I,12,1,37.018201,-2.266905,1.197,1036,132,253,365,0.408413264,61.65853659,0.682926829,0.196289751
CAL,Almeria,Alhamilla II,11,2,37.032905,-2.24709,0.947,699,139,259,345,0.380019002,71.63414634,0.707317073,0.228047072
CAL,Almeria,Turre,2,3,37.08721,-1.933791,0.849,399,142,254,344,0.403199316,330.2195122,3.024390244,1.153242691
CAL,Alicante,Cabeco d'or,4,4,38.516764,-0.41339,1.027,551,152,263,451,0.519896393,38.38095238,1.666666667,0.124718764
CAL,Alicante,Sierra bernia,21,5,38.675257,-0.036586,0.876,620,146,239,610,0.949826991,135.1904762,7.095238095,0.481413276
CAL,Alicante,Barranc d'almadig,19,6,38.735584,-0.119168,1.114,563,148,246,661,0.94447048,132.2380952,5.80952381,0.420979547
CAL,Valencia,Carcaixent,16,7,39.107848,-0.414571,1.009,201,171,289,735,0.775020031,399.7777778,9.277777778,1.272691257
CAL,Valencia,Dos Aguas,17,8,39.300432,-0.788097,0.876,778,136,279,637,0.626806371,1856.472222,9.194444444,5.910073291
CAL,Valencia,Cortes,13,9,39.313833,-0.685972,1.026,366,162,300,573,0.540688401,1225.555556,7.416666667,3.901552132
CAL,Valencia,Sot de Chera,14,10,39.606128,-0.925097,1.096,438,139,290,490,0.466088488,1145.833333,5.916666667,3.647756696
CAL,Valencia,Serra,5,11,39.694013,-0.397524,1.03,575,145,269,609,0.673533065,340.3611111,3.972222222,1.083538492
CAL,Castellon,Desert de les Palmes,18,12,40.067325,0.040802,0.889,116,164,277,531,0.612050546,92.66666667,2.285714286,0.384860315
CAL,Castellon,Valivana,23,13,40.564859,0.124883,1.18,613,134,265,495,0.539757411,187.9047619,1.857142857,0.598194199
CAL,Castellon,Bel,22,14,40.601833,0.180121,1.181,456,135,266,491,0.534931658,193.047619,2.142857143,0.614566468
CAL,Tarragona,Tivissa II,20,15,41.002028,0.671214,1.173,148,162,295,574,0.577738281,267.6206897,0.724137931,0.851969597
CAL,Tarragona,Ginestar,6,16,41.012918,0.686946,1.292,269,155,288,606,0.621785443,199.9655172,0.655172414,0.636589575
CAL,Tarragona,Tivissa II,7,17,41.025345,0.709221,1.145,385,144,276,667,0.706999644,153.3103448,0.551724138,0.488062985
CAL,Barcelona,Canyelles III,8,18,41.262878,1.687627,1.112,261,156,279,660,0.743319844,87.51724138,1.103448276,0.319452626
CAL,Barcelona,Garraf I,10,19,41.283547,1.903944,1.254,393,138,254,799,1.009968453,190.1724138,1.068965517,0.837800845
CAL,Barcelona,Garraf III,9,20,41.369979,1.950343,1.071,282,147,266,653,0.787944113,77.51724138,1.034482759,0.246775886
